rank,id,market,company,title,location,employment_type,salary_original,required_skills,preferred_skills,summary,source_url,notes
,BR-008,brazil,Global TI,Desenvolvedor Front-end Pleno (Next.js / React),Brasil,full_time,,React | Next.js | TypeScript | REST APIs | HTML | CSS | Git | responsive design,Tailwind CSS | Jest | React Testing Library | CI/CD | AWS | UX/UI,"Frontend Next/React pleno com SSR/SSG/ISR, performance, acessibilidade, APIs e testes.",https://remotive.com/remote/jobs/software-development/mid-level-front-end-developer-next-js-react-4545615,
,BR-014,brazil,Framework,Full Stack Developer (.NET and React) Pleno,Brasil,full_time,,C# | .NET | React | SQL | AWS | REST APIs | automated testing,CI/CD | observability | retail,"Full stack pleno com React, mas backend principal obrigatorio em C#/.NET e infraestrutura AWS.",https://remotive.com/remote/jobs/software-development/full-stack-developer-net-and-react-mid-level-5195853,
,INT-007,international,Articul8,Software Engineer - Backend (Brazil),Brasil remoto/hibrido,full_time,,backend systems | microservices | event-driven architecture | cloud infrastructure | Kubernetes | completed degree,Python | Node.js | Go | FastAPI | Express | PostgreSQL | Azure | LLM integrations,"Backend enterprise GenAI com varias tecnologias aderentes, mas modelo hibrido, formacao completa e sete anos sao barreiras.",https://jobs.ashbyhq.com/articul8/d243ba6c-5209-4ade-882f-1388cfc7bd1f/,
,BR-002,brazil,Workana,Full Stack Developer (TypeScript & Cloudflare),"Brasil, GMT-3",contract,,TypeScript | Cloudflare Workers | Next.js | React | Tailwind CSS | Drizzle ORM | PostgreSQL | distributed systems,Go | Telegram bots | Bun,"Plataforma de monitoramento em tempo real com TypeScript no Cloudflare, Next/React no frontend e oportunidade de usar Go.",https://remotive.com/remote/jobs/software-development/full-stack-developer-typescript-cloudflare-3937636,
,BR-001,brazil,Soluvia,"Fullstack Developer - Node.js, TypeScript and React",Brasil,pj,"R$ 8.000-R$ 10.000 por mes, PJ",Node.js | TypeScript | React | REST APIs | PostgreSQL | Git | microservices | Kafka,Docker | Kubernetes | OAuth | JWT | Jest | GitHub Actions | observability,"Produto full stack com microsservicos Node, mensageria e frontend React; exige Kafka e valoriza testes, containers e autenticacao.",https://remotive.com/remote/jobs/software-development/fullstack-developer-node-js-typescript-and-react-3622893,
,INT-013,international,Clipboard,"Software Engineer, Platform",Global remoto,full_time,"$50K-$400K, multiplas faixas por geografia/nivel",TypeScript | Node.js | NestJS | PostgreSQL | MongoDB | AWS | Terraform | platform engineering,Docker | observability | infrastructure as code,Plataforma global com backend TypeScript/Nest/Postgres e forte peso de AWS/Terraform.,https://jobs.ashbyhq.com/clipboard/e51b7b6a-187e-44b1-befa-ba46a2c4b00d/,
,INT-006,international,Pareto AI,Forward Deployed Software Engineer,EUA remoto ou Brasil,full_time,,Python | TypeScript | React | customer collaboration | AI systems,functional programming | LLM evaluation | AI research,"Engenharia aplicada junto a laboratorios de IA, usando Python/TypeScript e React para ambientes de RL e dados humanos.",https://jobs.ashbyhq.com/pareto-ai/9b5842fb-f936-47d0-9985-2941264123d8/,
,INT-004,international,Ascertain,Senior/Staff Full-Stack Engineer - Brazil,Brasil remoto,full_time,$70K-$90K por ano + equity,React | TypeScript | Python | FastAPI | PostgreSQL | Docker | CI/CD | technical leadership,Terraform | Redis | healthcare | AI agents,"Healthcare AI full stack com stack altamente aderente e salario em USD, mas nivel senior/staff exige sete ou mais anos.",https://jobs.ashbyhq.com/ascertain/d7b2aa32-ec96-46ac-99d9-8c002a1fbd73,
,BR-015,brazil,Resilient Co,Senior Python Engineer,Brasil,contract,,Python | FastAPI | Django | SQL | AWS | DynamoDB | Redis | algorithms | design patterns,Java | payments | compliance,"Backend Python senior para servicos seguros e escalaveis, big data e AWS, com forte exigencia de fundamentos e experiencia.",https://remotive.com/remote/jobs/software-development/senior-python-engineer-4443088,
,INT-012,international,RevenueCat,"Senior Software Engineer, Product",Americas ou EMEA,full_time,$230K por ano,TypeScript | React | PostgreSQL | Python | AWS | product engineering | system design,Flask | mobile subscriptions | mentoring,"Engenharia de produto full stack remota e muito bem remunerada, com stack aderente, mas ownership senior e escala global.",https://jobs.ashbyhq.com/revenuecat/cf3c6265-8acf-402e-8e1a-e340784dcc2d/,
